                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2556,                 7.3776,                0.96313,                0.48143,                0.20988,                0.11831,                0.09084,                0.92233,                 4.5156,                0.82739,              6.816e-05,              6.816e-05,              6.816e-05
                      2,                0.90295,                 3.6263,                0.83503,                0.48056,                0.33779,                0.31542,                0.23313,                0.85336,                 2.3923,                0.82423,             0.00013708,             0.00013708,             0.00013708
                      3,                0.90467,                 2.8475,                0.82998,                0.35687,                0.41079,                0.35422,                0.26758,                0.82806,                 2.0602,                0.81102,             0.00020461,             0.00020461,             0.00020461
                      4,                0.86949,                 2.2607,                0.83172,                0.39022,                 0.5004,                0.43914,                0.31323,                0.85107,                 1.7431,                0.82207,             0.00020667,             0.00020667,             0.00020667
                      5,                0.81058,                  1.923,                0.81297,                0.49025,                0.45988,                0.43316,                0.31676,                0.86354,                 1.7157,                 0.8307,             0.00020457,             0.00020457,             0.00020457
                      6,                0.78101,                  1.679,                0.81818,                0.48668,                0.52504,                 0.5149,                0.38728,                0.81943,                 1.7127,                 0.8184,             0.00020246,             0.00020246,             0.00020246
                      7,                0.81092,                 1.4967,                0.81594,                 0.4407,                0.52806,                0.55481,                0.43664,                0.73274,                  1.417,                0.81001,             0.00020035,             0.00020035,             0.00020035
                      8,                0.75029,                 1.3174,                0.81478,                0.52397,                0.63732,                0.56777,                0.42807,                  0.845,                 1.5804,                0.82386,             0.00019824,             0.00019824,             0.00019824
                      9,                0.74106,                 1.2377,                0.80644,                 0.5454,                0.47737,                0.55652,                0.42701,                0.84079,                 1.4143,                0.82135,             0.00019613,             0.00019613,             0.00019613
                     10,                0.73342,                 1.1527,                0.81836,                0.57189,                0.56052,                0.60953,                0.47103,                0.77694,                  1.499,                0.81445,             0.00019402,             0.00019402,             0.00019402
                     11,                0.71844,                  1.142,                0.80624,                0.62705,                0.61687,                0.67738,                0.53275,                0.72993,                 1.1984,                0.81024,             0.00019191,             0.00019191,             0.00019191
                     12,                0.72221,                 1.0474,                 0.8135,                0.60964,                0.65056,                0.70233,                0.53537,                 0.7831,                 1.1584,                0.82162,              0.0001898,              0.0001898,              0.0001898
                     13,                 0.6951,                0.98485,                0.79218,                0.63468,                0.66389,                0.67309,                0.51612,                0.81275,                 1.1754,                0.81545,              0.0001877,              0.0001877,              0.0001877
                     14,                0.68203,                0.85717,                0.81615,                0.62424,                0.67958,                0.70009,                0.53755,                0.78358,                 1.2202,                0.81584,             0.00018559,             0.00018559,             0.00018559
                     15,                0.66425,                0.89765,                0.79258,                0.67589,                0.59882,                0.69929,                0.54465,                0.76177,                 1.1644,                0.81643,             0.00018348,             0.00018348,             0.00018348
                     16,                0.69734,                0.96299,                0.80215,                0.46516,                0.62536,                0.58724,                0.44773,                0.82651,                 1.4075,                0.82044,             0.00018137,             0.00018137,             0.00018137
                     17,                0.66836,                0.84064,                0.79306,                0.47481,                0.62659,                0.61914,                0.47672,                0.82259,                 1.4267,                0.82212,             0.00017926,             0.00017926,             0.00017926
                     18,                0.66269,                0.76067,                0.79946,                0.64763,                0.60213,                 0.7153,                0.55403,                0.81828,                 1.3066,                0.81999,             0.00017715,             0.00017715,             0.00017715
                     19,                0.64528,                 0.7047,                0.80122,                0.56307,                0.65876,                 0.6989,                0.56281,                0.72091,                 1.2821,                0.80542,             0.00017504,             0.00017504,             0.00017504
                     20,                0.65058,                0.65824,                0.79535,                0.43765,                0.70979,                 0.6294,                0.51751,                 0.6843,                 1.1278,                0.80911,             0.00017293,             0.00017293,             0.00017293
                     21,                0.64658,                 0.6391,                  0.798,                0.51385,                 0.6891,                0.67673,                0.53429,                0.71362,                 1.2449,                0.80554,             0.00017083,             0.00017083,             0.00017083
                     22,                0.62092,                0.61442,                0.80129,                0.58912,                0.62129,                0.64975,                0.50692,                0.73583,                 1.3091,                0.81243,             0.00016872,             0.00016872,             0.00016872
                     23,                0.59482,                0.60671,                0.79403,                0.67486,                0.54763,                0.62787,                0.50405,                0.71101,                 1.1467,                 0.8057,             0.00016661,             0.00016661,             0.00016661
                     24,                0.65611,                0.63879,                0.80934,                0.77073,                0.42771,                0.60833,                0.46454,                0.80718,                 1.4021,                0.81409,              0.0001645,              0.0001645,              0.0001645
                     25,                0.61199,                0.55017,                0.79784,                0.54336,                0.67814,                0.62589,                0.48442,                0.75044,                 1.2871,                0.81005,             0.00016239,             0.00016239,             0.00016239
                     26,                0.61952,                0.57621,                0.79235,                0.47049,                0.62817,                 0.6407,                0.49995,                0.72745,                 1.1949,                0.80893,             0.00016028,             0.00016028,             0.00016028
                     27,                0.60819,                0.55517,                 0.8052,                0.54352,                0.67437,                0.63089,                0.50084,                0.67275,                 1.2236,                0.80494,             0.00015817,             0.00015817,             0.00015817
                     28,                0.63367,                0.55403,                0.79923,                0.76843,                0.53161,                0.63025,                0.48219,                0.72575,                 1.2294,                0.80735,             0.00015607,             0.00015607,             0.00015607
                     29,                0.58949,                0.54067,                0.79145,                0.67631,                 0.6826,                0.70345,                0.55514,                0.69455,                 1.1512,                0.80572,             0.00015396,             0.00015396,             0.00015396
                     30,                0.61123,                0.53123,                0.80417,                0.73377,                0.60636,                0.72273,                0.55901,                0.77104,                 1.1651,                0.81342,             0.00015185,             0.00015185,             0.00015185
                     31,                 0.5834,                0.49847,                0.79726,                0.78242,                0.48726,                 0.6918,                0.52573,                0.81107,                 1.2403,                0.82101,             0.00014974,             0.00014974,             0.00014974
                     32,                0.56603,                0.47538,                0.78501,                0.74285,                0.52483,                0.70044,                0.55539,                0.76277,                  1.155,                0.81501,             0.00014763,             0.00014763,             0.00014763
                     33,                0.58098,                0.47614,                  0.792,                0.53874,                0.68664,                0.72579,                 0.5684,                 0.6803,                 1.1341,                0.79674,             0.00014552,             0.00014552,             0.00014552
                     34,                0.56022,                 0.4451,                0.79253,                0.64335,                0.66359,                0.70009,                0.54973,                0.67753,                 1.0491,                0.79494,             0.00014341,             0.00014341,             0.00014341
                     35,                0.55803,                0.45272,                0.79014,                 0.5888,                0.66746,                0.70791,                0.56111,                0.65372,                 1.2316,                0.80057,              0.0001413,              0.0001413,              0.0001413
                     36,                0.58564,                0.45047,                0.79879,                0.66698,                0.54148,                0.66565,                0.51085,                  0.659,                 1.2523,                0.79611,              0.0001392,              0.0001392,              0.0001392
                     37,                0.54815,                0.45287,                0.78288,                0.61663,                0.57944,                0.74611,                0.59173,                0.66948,                 1.2411,                0.79979,             0.00013709,             0.00013709,             0.00013709
                     38,                 0.5364,                0.41768,                0.78784,                0.62972,                 0.6705,                0.73405,                0.60021,                0.67799,                 1.1025,                0.79471,             0.00013498,             0.00013498,             0.00013498
                     39,                  0.559,                0.43989,                0.78958,                0.56488,                0.63552,                0.70946,                0.56311,                0.68982,                 1.2348,                0.80636,             0.00013287,             0.00013287,             0.00013287
                     40,                0.55993,                0.44318,                0.77991,                0.71068,                0.53414,                0.73117,                0.56802,                0.70956,                 1.2597,                0.80989,             0.00013076,             0.00013076,             0.00013076
                     41,                0.55319,                0.42938,                0.78087,                0.62322,                0.63362,                0.69884,                0.55495,                0.71508,                 1.2598,                0.80662,             0.00012865,             0.00012865,             0.00012865
                     42,                0.53827,                0.42399,                0.78671,                0.54775,                0.61716,                0.67709,                0.53281,                 0.7035,                 1.1321,                0.80653,             0.00012654,             0.00012654,             0.00012654
                     43,                0.53098,                0.39699,                0.79174,                0.58756,                0.57457,                0.65224,                0.51842,                0.69804,                 1.1901,                0.80443,             0.00012443,             0.00012443,             0.00012443
                     44,                0.55364,                0.42081,                0.78229,                0.70837,                0.46283,                0.67974,                0.54444,                0.73178,                 1.2097,                0.81136,             0.00012233,             0.00012233,             0.00012233
                     45,                0.50917,                0.40134,                0.78824,                0.55511,                0.57424,                0.72458,                 0.5723,                0.74487,                 1.0321,                0.81181,             0.00012022,             0.00012022,             0.00012022
                     46,                0.51018,                0.40803,                0.78701,                0.63399,                0.68447,                0.74183,                0.59742,                 0.6755,                 1.0219,                0.79907,             0.00011811,             0.00011811,             0.00011811
                     47,                0.53806,                0.39906,                0.78151,                0.64159,                 0.6603,                0.73844,                0.59497,                0.70515,                  1.075,                0.80513,               0.000116,               0.000116,               0.000116
                     48,                0.49796,                0.37984,                0.78227,                0.52513,                0.75235,                0.75378,                0.61097,                0.69604,                 1.0533,                0.80404,             0.00011389,             0.00011389,             0.00011389
                     49,                0.51047,                0.37248,                0.78039,                0.59095,                0.67277,                0.72764,                0.58374,                0.67643,                 1.0929,                0.80112,             0.00011178,             0.00011178,             0.00011178
                     50,                0.49783,                0.36911,                0.78644,                0.79534,                0.50112,                0.73621,                 0.5938,                0.65452,                  1.105,                0.79566,             0.00010967,             0.00010967,             0.00010967
                     51,                0.48813,                0.36704,                0.78666,                0.58181,                0.67495,                0.72997,                0.58779,                 0.6663,                 1.1133,                0.80135,             0.00010757,             0.00010757,             0.00010757
                     52,                0.52559,                 0.3753,                0.78511,                0.68116,                0.57296,                0.72775,                0.59886,                0.66891,                 1.2003,                0.79939,             0.00010546,             0.00010546,             0.00010546
                     53,                0.49306,                0.35129,                0.79222,                0.56362,                0.67399,                0.73473,                0.59809,                0.67487,                 1.1922,                0.80182,             0.00010335,             0.00010335,             0.00010335
                     54,                0.50681,                0.35081,                0.78416,                0.59567,                0.63997,                 0.7522,                0.60107,                0.72403,                 1.1856,                0.80407,             0.00010124,             0.00010124,             0.00010124
                     55,                0.49145,                0.34998,                0.78332,                 0.6206,                0.53689,                0.70603,                0.56223,                0.72822,                 1.2351,                 0.8051,              9.913e-05,              9.913e-05,              9.913e-05
                     56,                0.46692,                0.33023,                0.78134,                0.61133,                0.58488,                0.71265,                0.56694,                0.68468,                  1.215,                0.80227,             9.7021e-05,             9.7021e-05,             9.7021e-05
                     57,                0.47242,                0.32568,                0.77694,                 0.5896,                0.57335,                0.71285,                 0.5772,                0.66964,                 1.1869,                0.80487,             9.4913e-05,             9.4913e-05,             9.4913e-05
                     58,                0.46639,                0.32392,                0.78656,                0.69824,                0.55487,                0.71772,                0.56888,                0.67951,                 1.1823,                0.80186,             9.2804e-05,             9.2804e-05,             9.2804e-05
                     59,                 0.4822,                0.35296,                0.78541,                0.64077,                0.58096,                0.68954,                0.55694,                0.72489,                  1.226,                0.80329,             9.0695e-05,             9.0695e-05,             9.0695e-05
                     60,                 0.4605,                0.32315,                0.78999,                  0.565,                 0.6419,                0.70141,                0.56829,                0.68574,                 1.2211,                0.79569,             8.8587e-05,             8.8587e-05,             8.8587e-05
                     61,                0.43898,                0.31696,                 0.7855,                0.62639,                0.63988,                0.71427,                0.57966,                0.70361,                 1.1536,                0.80191,             8.6478e-05,             8.6478e-05,             8.6478e-05
                     62,                0.47191,                0.33758,                0.77977,                 0.6211,                0.66723,                0.71416,                0.57943,                  0.704,                 1.1197,                0.80272,             8.4369e-05,             8.4369e-05,             8.4369e-05
                     63,                0.46026,                0.31946,                0.78431,                0.62067,                0.64099,                0.71323,                0.58139,                0.68038,                 1.1308,                0.80186,             8.2261e-05,             8.2261e-05,             8.2261e-05
                     64,                0.47076,                0.32817,                0.78039,                0.63098,                0.71441,                0.73778,                0.59078,                0.69185,                 1.1383,                0.80103,             8.0152e-05,             8.0152e-05,             8.0152e-05
                     65,                0.46505,                 0.3331,                0.77522,                0.61257,                0.70885,                0.73801,                 0.5924,                0.67629,                 1.1092,                0.80258,             7.8043e-05,             7.8043e-05,             7.8043e-05
                     66,                0.43672,                0.30829,                0.77534,                0.55805,                0.63373,                0.71661,                0.57809,                0.66427,                 1.1273,                0.79999,             7.5935e-05,             7.5935e-05,             7.5935e-05
                     67,                0.46694,                0.32201,                0.78471,                0.59378,                0.67083,                0.76343,                0.61559,                0.68427,                 1.1573,                0.80159,             7.3826e-05,             7.3826e-05,             7.3826e-05
                     68,                0.43141,                0.31371,                0.78763,                0.63513,                 0.6987,                0.78956,                0.64248,                0.68091,                 1.1299,                0.79891,             7.1717e-05,             7.1717e-05,             7.1717e-05
                     69,                0.43956,                0.30921,                0.78544,                0.62748,                0.71299,                0.78419,                0.63723,                0.68846,                 1.1926,                0.80073,             6.9608e-05,             6.9608e-05,             6.9608e-05
                     70,                0.44296,                0.31145,                0.78024,                 0.5818,                0.68681,                0.71467,                0.58698,                0.67083,                 1.1989,                0.79895,               6.75e-05,               6.75e-05,               6.75e-05
                     71,                0.43704,                0.30357,                0.78253,                0.51509,                0.68376,                0.68626,                0.55543,                0.70058,                 1.1953,                0.80302,             6.5391e-05,             6.5391e-05,             6.5391e-05
                     72,                0.41886,                0.29011,                0.77641,                0.63632,                0.66864,                0.70775,                0.56088,                0.72195,                 1.2033,                0.80637,             6.3282e-05,             6.3282e-05,             6.3282e-05
                     73,                 0.4352,                0.30054,                0.77542,                0.55264,                0.66388,                0.70707,                0.56159,                0.71641,                 1.2105,                0.80579,             6.1174e-05,             6.1174e-05,             6.1174e-05
                     74,                0.41862,                0.29374,                0.77863,                0.54595,                0.67323,                0.70873,                 0.5681,                0.71473,                 1.1494,                0.80451,             5.9065e-05,             5.9065e-05,             5.9065e-05
                     75,                0.40979,                0.29324,                0.78071,                0.56607,                0.65641,                0.69423,                0.55694,                0.70362,                 1.1582,                0.80159,             5.6956e-05,             5.6956e-05,             5.6956e-05
                     76,                0.43362,                0.29681,                0.78103,                0.62596,                0.56052,                0.70764,                0.57595,                0.68272,                 1.1668,                0.80025,             5.4847e-05,             5.4847e-05,             5.4847e-05
                     77,                0.40154,                0.27205,                0.78099,                 0.5796,                0.69378,                0.72562,                0.58921,                0.66749,                 1.1171,                 0.7979,             5.2739e-05,             5.2739e-05,             5.2739e-05
                     78,                0.40686,                0.28141,                0.76666,                0.69435,                0.58662,                0.73947,                0.60166,                0.69725,                 1.1125,                0.80214,              5.063e-05,              5.063e-05,              5.063e-05
                     79,                0.40348,                 0.2717,                 0.7718,                0.68955,                0.58446,                0.70716,                0.57244,                0.67865,                 1.1327,                0.80061,             4.8521e-05,             4.8521e-05,             4.8521e-05
                     80,                0.40576,                0.28204,                0.77849,                0.55107,                0.66018,                0.72233,                0.58044,                0.68772,                  1.144,                0.80103,             4.6413e-05,             4.6413e-05,             4.6413e-05
                     81,                0.39334,                0.27416,                0.77835,                0.57705,                0.71047,                0.72836,                0.58734,                0.68442,                 1.1484,                0.80093,             4.4304e-05,             4.4304e-05,             4.4304e-05
                     82,                0.37727,                0.26317,                0.78146,                0.57647,                0.67903,                0.73148,                0.58627,                0.67877,                  1.172,                0.79922,             4.2195e-05,             4.2195e-05,             4.2195e-05
                     83,                0.40798,                0.27373,                0.77951,                0.58895,                0.66236,                0.74903,                0.59523,                0.68842,                 1.1823,                0.80241,             4.0087e-05,             4.0087e-05,             4.0087e-05
                     84,                0.37474,                  0.263,                0.78464,                0.57607,                0.67261,                0.74446,                0.59596,                0.69284,                 1.1779,                0.80081,             3.7978e-05,             3.7978e-05,             3.7978e-05
                     85,                0.37935,                0.25873,                0.77382,                0.59996,                0.67534,                0.74929,                0.60205,                0.68698,                 1.1793,                 0.8025,             3.5869e-05,             3.5869e-05,             3.5869e-05
                     86,                0.37399,                0.25792,                0.77917,                0.60774,                0.73233,                0.75916,                0.61572,                0.67817,                 1.1865,                 0.8004,             3.3761e-05,             3.3761e-05,             3.3761e-05
                     87,                 0.4008,                0.26532,                0.78335,                0.59917,                0.70258,                 0.7545,                0.60649,                0.70235,                 1.1816,                 0.8017,             3.1652e-05,             3.1652e-05,             3.1652e-05
                     88,                0.37527,                0.25661,                0.77266,                 0.5891,                0.65624,                0.74222,                0.59982,                0.68282,                 1.1726,                0.80005,             2.9543e-05,             2.9543e-05,             2.9543e-05
                     89,                0.37252,                0.25981,                0.77731,                0.58033,                0.68915,                0.73065,                0.58516,                0.69745,                 1.1687,                0.80112,             2.7434e-05,             2.7434e-05,             2.7434e-05
                     90,                0.37316,                0.26088,                0.77416,                0.55493,                0.69908,                0.73433,                0.59254,                0.69263,                 1.1752,                0.80222,             2.5326e-05,             2.5326e-05,             2.5326e-05
                     91,                0.46977,                0.28454,                0.78315,                 0.5255,                0.68821,                0.71443,                0.60977,                0.54658,                  1.224,                0.78708,             2.3217e-05,             2.3217e-05,             2.3217e-05
                     92,                0.43267,                0.27039,                 0.7806,                0.52732,                0.69125,                0.72132,                0.62735,                0.51359,                 1.2166,                0.78307,             2.1108e-05,             2.1108e-05,             2.1108e-05
                     93,                0.39407,                0.26092,                0.77179,                0.52352,                0.71352,                0.72925,                0.61765,                0.54645,                 1.1982,                0.78762,                1.9e-05,                1.9e-05,                1.9e-05
                     94,                0.37788,                0.24654,                0.77173,                0.53736,                0.71717,                0.72737,                0.62898,                 0.5099,                 1.1814,                0.78402,             1.6891e-05,             1.6891e-05,             1.6891e-05
                     95,                0.37713,                0.25386,                0.78043,                0.53671,                0.65855,                0.73166,                0.61855,                0.52548,                 1.1554,                0.78659,             1.4782e-05,             1.4782e-05,             1.4782e-05
                     96,                0.36242,                0.24469,                0.78038,                0.54008,                0.73602,                0.73564,                0.63216,                0.50863,                 1.1728,                0.78501,             1.2674e-05,             1.2674e-05,             1.2674e-05
                     97,                0.36473,                0.25163,                0.77581,                0.52654,                0.74472,                 0.7304,                0.61769,                0.51601,                 1.1686,                0.78534,             1.0565e-05,             1.0565e-05,             1.0565e-05
                     98,                0.36652,                0.24399,                0.77204,                0.55492,                 0.7193,                0.73526,                 0.6367,                0.51988,                 1.1871,                0.78497,             8.4561e-06,             8.4561e-06,             8.4561e-06
                     99,                0.36162,                0.23716,                0.76332,                0.55874,                0.71816,                0.74017,                0.63747,                0.51621,                 1.1896,                0.78445,             6.3474e-06,             6.3474e-06,             6.3474e-06
                    100,                 0.3551,                0.23966,                0.77133,                0.55974,                0.71941,                0.73942,                0.63707,                0.51095,                 1.1861,                0.78344,             4.2387e-06,             4.2387e-06,             4.2387e-06
